file,vertical,client,name_on_portfolio_page,sheet_row,drive_file_id
eye-care-clinics/ashford-advanced-eye-care/ashford-advanced-eye-care-ranking-on-google-search-for-the-keyword-eye-and-laser-clinic-in-adel.webp,Eye Care Clinics,Ashford Advanced Eye Care,Ashford Advanced Eye Care Ranking on Google Search for the Keyword ' Eye And Laser Clinic In Adelaide',257,10m-AX7sKvYWjT5mBB5FxV8YGc6uaOvHJ
eye-care-clinics/omd-combined-results/eye-care-clinic-client-year-on-year-conversion-growth-2.webp,Eye Care Clinics,/,Eye Care Clinic Client Year on Year Conversion Growth,188,118GcNxJJE6SHN5pNccljnxexFGcfpPOV
eye-care-clinics/omd-combined-results/eye-care-clinic-client-year-on-year-conversion-growth.webp,Eye Care Clinics,/,Eye Care Clinic Client Year on Year Conversion Growth,187,12nBWNMAf5U70RlTWVAWih78d9B0IhGn0
eye-care-clinics/omd-combined-results/eye-care-clinic-client-year-on-year-traffic-conversion-growth-2.webp,Eye Care Clinics,/,Eye Care Clinic Client Year on Year Traffic & Conversion Growth,190,1l9BCjWJSGf2-PgjaIBafgDSfmO6kR6TG
eye-care-clinics/omd-combined-results/eye-care-clinic-client-year-on-year-traffic-conversion-growth.webp,Eye Care Clinics,/,Eye Care Clinic Client Year on Year Traffic & Conversion Growth,189,1U7GUGEBoOOn4J37IMsIdkujR27CrCwuu
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-google-maps-for-eye-care-specialist-essex-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on Google Maps for ""Eye Care Specialist Essex"" Keyword",216,1-Gc6nGixX3SwQ9d2qhy18AUi0syWiIN0
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-google-maps-for-eye-doctor-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on Google Maps for ""Eye Doctor Colchester"" Keyword",215,1lilms2-EU8Fln5JXHc2OIFrh6kCVz8DH
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-google-maps-for-laser-refractive-surgery-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on Google Maps for ""Laser Refractive Surgery Colchester"" Keyword",248,1q_1Xc3p1hehkTHiEK6qjH9sqQgRLghYB
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-google-maps-for-ophmalmologist-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on Google Maps for ""Ophmalmologist Colchester"" Keyword",247,1PRxtrxf1ZEeL085gqRbq6Z11ObX6Ucdw
eye-care-clinics/the-vision-surgeon/the-vision-surgeon-ranks-on-google-search-for-laser-eye-surgery-colchester-keyword.webp,Eye Care Clinics,The Vision Surgeon,"The Vision Surgeon Ranks on Google Search for ""Laser Eye Surgery Colchester"" Keyword",246,1mWnTv9KLoaLGo6IPzrRzz_VBBlUrLdyZ
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-1st-on-google-maps-for-cataract-surgery-sydney-keyword.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 1st on Google Maps for 'Cataract Surgery Sydney' Keyword,19,1fSixBPU0-epEUl1kdNWaDagSOF4mLetO
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-1st-on-google-maps-for-eye-doctor-sydney-keyword.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 1st on Google Maps for 'Eye Doctor Sydney' Keyword,122,1n7IAtnA50YR7h0kOUVNZxYugJQhV875-
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-1st-on-google-maps-for-keratoconus-sydney-keyword.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 1st on Google Maps for 'Keratoconus Sydney' Keyword,30,1r4WjRMPKFfGqBWnnDF-2j0K7pWOLyhsX
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-1st-on-google-search-and-google-maps-for-refractive-lens-exchange.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 1st on Google Search and Google Maps for 'Refractive Lens Exchange Surgery Sydney' Keyword,21,1wnVuo3R-vazrCosNKK9dqif9B1Pl98Do
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-1st-on-google-search-for-dalk-transplant-sydney-keyword.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 1st on Google Search for 'Dalk Transplant Sydney' Keyword,18,1Td38bf34s2lUEF-kPq2owg0Q09Q5Df0o
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-1st-on-google-search-for-short-sightedness-treatment-sydney-keywor.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 1st on Google Search for 'Short Sightedness Treatment Sydney' Keyword,12,1D9Jccp2OKiciv0-IYW-FdFVaAtNFfLpB
eye-care-clinics/vision-clinic-sydney/vision-clinic-sydney-ranking-2nd-on-google-search-and-google-maps-for-refractive-lens-exchange.webp,Eye Care Clinics,Vision Clinic Sydney,Vision Clinic Sydney Ranking 2nd on Google Search and Google Maps for 'Refractive Lens Exchange Surgery Sydney' Keyword,27,1dC2uJ7DMjmiMXNGguhTyxp3uRCE5u7-B
